JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU
379880,Q05S128a,dgoncalves,cpu2,FAILED,10,00:00:02,,00:00.326
379880.batch,batch,,,FAILED,10,00:00:02,0,00:00.325
379880.extern,extern,,,COMPLETED,10,00:00:05,0,00:00.001
379881,Q05S128a,dgoncalves,cpu2,FAILED,20,00:00:04,,00:00.368
379881.batch,batch,,,FAILED,20,00:00:04,0,00:00.367
379881.extern,extern,,,COMPLETED,20,00:00:07,0,00:00.001
379882,Q05S128a,dgoncalves,cpu2,FAILED,40,00:00:04,,00:00.326
379882.batch,batch,,,FAILED,40,00:00:04,0,00:00.325
379882.extern,extern,,,COMPLETED,40,00:00:06,0,00:00.001
379883,Q05S128a,dgoncalves,cpu2,FAILED,80,00:00:03,,00:00.348
379883.batch,batch,,,FAILED,80,00:00:03,0,00:00.347
379883.extern,extern,,,COMPLETED,80,00:00:05,0,00:00.001
379884,Q06S128a,dgoncalves,cpu2,FAILED,10,00:00:02,,00:00.312
379884.batch,batch,,,FAILED,10,00:00:02,0,00:00.311
379884.extern,extern,,,COMPLETED,10,00:00:05,0,00:00:00
379885,Q06S128a,dgoncalves,cpu2,FAILED,20,00:00:02,,00:00.319
379885.batch,batch,,,FAILED,20,00:00:02,0,00:00.318
379885.extern,extern,,,COMPLETED,20,00:00:05,0,00:00:00
379886,Q06S128a,dgoncalves,cpu2,FAILED,40,00:00:04,,00:00.319
379886.batch,batch,,,FAILED,40,00:00:04,0,00:00.318
379886.extern,extern,,,COMPLETED,40,00:00:06,0,00:00.001
379887,Q06S128a,dgoncalves,cpu2,FAILED,80,00:00:04,,00:00.334
379887.batch,batch,,,FAILED,80,00:00:04,0,00:00.333
379887.extern,extern,,,COMPLETED,80,00:00:06,0,00:00.001
379888,Q07S128a,dgoncalves,cpu2,FAILED,10,00:00:02,,00:00.437
379888.batch,batch,,,FAILED,10,00:00:02,0,00:00.436
379888.extern,extern,,,COMPLETED,10,00:00:05,0,00:00.001
379889,Q07S128a,dgoncalves,cpu2,FAILED,20,00:00:02,,00:00.311
379889.batch,batch,,,FAILED,20,00:00:02,0,00:00.310
379889.extern,extern,,,COMPLETED,20,00:00:05,0,00:00:00
379890,Q07S128a,dgoncalves,cpu2,FAILED,40,00:00:03,,00:00.308
379890.batch,batch,,,FAILED,40,00:00:03,0,00:00.307
379890.extern,extern,,,COMPLETED,40,00:00:06,0,00:00:00
379891,Q07S128a,dgoncalves,cpu2,FAILED,80,00:00:04,,00:00.332
379891.batch,batch,,,FAILED,80,00:00:04,0,00:00.331
379891.extern,extern,,,COMPLETED,80,00:00:06,0,00:00.001
379892,Q08S128a,dgoncalves,cpu2,FAILED,10,00:00:05,,00:00.432
379892.batch,batch,,,FAILED,10,00:00:05,0,00:00.431
379892.extern,extern,,,COMPLETED,10,00:00:07,0,00:00.001
379893,Q08S128a,dgoncalves,cpu2,FAILED,20,00:00:02,,00:00.311
379893.batch,batch,,,FAILED,20,00:00:02,0,00:00.310
379893.extern,extern,,,COMPLETED,20,00:00:05,0,00:00:00
379894,Q08S128a,dgoncalves,cpu2,FAILED,40,00:00:03,,00:00.325
379894.batch,batch,,,FAILED,40,00:00:03,0,00:00.324
379894.extern,extern,,,COMPLETED,40,00:00:06,0,00:00.001
379895,Q08S128a,dgoncalves,cpu2,FAILED,80,00:00:04,,00:00.331
379895.batch,batch,,,FAILED,80,00:00:04,0,00:00.330
379895.extern,extern,,,COMPLETED,80,00:00:06,0,00:00.001
379955,Q05S128a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379956,Q05S128a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379957,Q05S128a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379958,Q05S128a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379959,Q06S128a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379960,Q06S128a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379961,Q06S128a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379962,Q06S128a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379963,Q07S128a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379964,Q07S128a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379965,Q07S128a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379966,Q07S128a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379967,Q08S128a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379968,Q08S128a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379969,Q08S128a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379970,Q08S128a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379971,Q05S256a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379972,Q05S256a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379973,Q05S256a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379974,Q05S256a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379975,Q06S256a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379976,Q06S256a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379977,Q06S256a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379978,Q06S256a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379979,Q07S256a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379980,Q07S256a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379981,Q07S256a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379982,Q07S256a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379983,Q08S256a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379984,Q08S256a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379985,Q08S256a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379986,Q08S256a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379987,Q05S512a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379988,Q05S512a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379989,Q05S512a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379990,Q05S512a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379991,Q06S512a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379992,Q06S512a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379993,Q06S512a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379994,Q06S512a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379995,Q07S512a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
379996,Q07S512a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
379997,Q07S512a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
379998,Q07S512a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
379999,Q08S512a,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
380000,Q08S512a,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
380001,Q08S512a,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
380002,Q08S512a,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
380014,Q05S128a,dgoncalves,cpu2,COMPLETED,10,00:57:16,,57:00.577
380014.batch,batch,,,COMPLETED,10,00:57:16,806.22M,57:00.575
380014.extern,extern,,,COMPLETED,10,00:57:19,0,00:00.002
380015,Q05S128a,dgoncalves,cpu2,COMPLETED,20,00:37:43,,37:36.027
380015.batch,batch,,,COMPLETED,20,00:37:43,966.46M,37:36.026
380015.extern,extern,,,COMPLETED,20,00:37:46,0,00:00.001
380016,Q05S128a,dgoncalves,cpu2,COMPLETED,40,00:36:38,,36:31.455
380016.batch,batch,,,COMPLETED,40,00:36:38,789.66M,36:31.453
380016.extern,extern,,,COMPLETED,40,00:36:41,0,00:00.001
380017,Q05S128a,dgoncalves,cpu2,COMPLETED,80,00:37:13,,36:41.117
380017.batch,batch,,,COMPLETED,80,00:37:13,592.53M,36:41.116
380017.extern,extern,,,COMPLETED,80,00:37:15,0,00:00.001
