JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU,ReqMem
391522,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,4,00:00:00,,00:00:00,4096Mn
391523,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00,11264Mn
391524,Q06S128s,dgoncalves,cpu2,FAILED,20,00:00:18,,00:02.731,22528Mn
391524.batch,batch,,,FAILED,20,00:00:18,0,00:00.341,22528Mn
391524.extern,extern,,,COMPLETED,20,00:00:18,0,00:00.001,22528Mn
391524.0,python,,,FAILED,20,00:00:17,0,00:02.389,22528Mn
391525,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,30,00:00:00,,00:00:00,33792Mn
391526,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00,46080Mn
391527,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00,92160Mn
391657,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,4,00:00:00,,00:00:00,1190Mn
391658,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00,1190Mn
391659,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00,1190Mn
391660,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,30,00:00:00,,00:00:00,1190Mn
391661,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00,1190Mn
391662,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00,1190Mn
391687,TQ06S128s,dgoncalves,hmem1,OUT_OF_MEMORY,80,00:02:45,,01:33.427,1190Mn
391687.batch,batch,,,OUT_OF_MEMORY,80,00:02:45,4.45M,00:00.345,1190Mn
391687.extern,extern,,,OUT_OF_MEMORY,80,00:02:45,0,00:00:00,1190Mn
391687.0,python,,,OUT_OF_MEMORY,80,00:02:43,1185.36M,01:33.080,1190Mn
391705,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00,1190Mn
391707,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00,1190Mn
391708,Q06S128ds,dgoncalves,cpu1,OUT_OF_MEMORY,10,00:04:03,,03:56.569,1984Mn
391708.batch,batch,,,OUT_OF_MEMORY,10,00:04:03,4.44M,00:00.439,1984Mn
391708.extern,extern,,,OUT_OF_MEMORY,10,00:04:03,0,00:00:00,1984Mn
391708.0,python3,,,OUT_OF_MEMORY,10,00:04:02,1699.96M,03:56.129,1984Mn
391709,Q06S128ds,dgoncalves,cpu1,OUT_OF_MEMORY,20,00:04:03,,03:53.062,1984Mn
391709.batch,batch,,,OUT_OF_MEMORY,20,00:04:03,4.45M,00:00.417,1984Mn
391709.extern,extern,,,OUT_OF_MEMORY,20,00:04:03,0,00:00.001,1984Mn
391709.0,python3,,,OUT_OF_MEMORY,20,00:04:02,1707.99M,03:52.643,1984Mn
391710,Q06S128ds,dgoncalves,cpu1,OUT_OF_MEMORY,30,00:04:12,,04:36.527,1984Mn
391710.batch,batch,,,OUT_OF_MEMORY,30,00:04:12,4.45M,00:00.526,1984Mn
391710.extern,extern,,,OUT_OF_MEMORY,30,00:04:12,0,00:00:00,1984Mn
391710.0,python3,,,OUT_OF_MEMORY,30,00:04:09,1817.30M,00:04:36,1984Mn
391711,Q06S128ds,dgoncalves,cpu1,OUT_OF_MEMORY,40,00:03:58,,03:55.945,1984Mn
391711.batch,batch,,,OUT_OF_MEMORY,40,00:03:58,4.44M,00:00.435,1984Mn
391711.extern,extern,,,OUT_OF_MEMORY,40,00:03:58,0,00:00.001,1984Mn
391711.0,python3,,,OUT_OF_MEMORY,40,00:03:57,1748.49M,03:55.508,1984Mn
391712,Q06S128ds,dgoncalves,cpu1,OUT_OF_MEMORY,48,00:04:30,,08:06.759,1984Mn
391712.batch,batch,,,OUT_OF_MEMORY,48,00:04:30,4.45M,00:00.497,1984Mn
391712.extern,extern,,,OUT_OF_MEMORY,48,00:04:30,0,00:00:00,1984Mn
391712.0,python3,,,OUT_OF_MEMORY,48,00:04:28,1972.32M,08:06.260,1984Mn
391713,Q06S128ss,dgoncalves,cpu1,OUT_OF_MEMORY,10,00:04:05,,03:57.942,1984Mn
391713.batch,batch,,,OUT_OF_MEMORY,10,00:04:05,4.45M,00:00.500,1984Mn
391713.extern,extern,,,OUT_OF_MEMORY,10,00:04:05,0,00:00.001,1984Mn
391713.0,python3,,,OUT_OF_MEMORY,10,00:04:02,1699.19M,03:57.441,1984Mn
391714,Q06S128ss,dgoncalves,cpu1,OUT_OF_MEMORY,20,00:04:03,,03:54.420,1984Mn
391714.batch,batch,,,OUT_OF_MEMORY,20,00:04:03,4.45M,00:00.470,1984Mn
391714.extern,extern,,,OUT_OF_MEMORY,20,00:04:04,0,00:00.001,1984Mn
391714.0,python3,,,OUT_OF_MEMORY,20,00:04:01,1694.87M,03:53.948,1984Mn
391715,Q06S128ss,dgoncalves,cpu1,CANCELLED by 383200393,30,00:00:12,,00:06.672,1984Mn
391715.batch,batch,,,CANCELLED,30,00:00:13,4.15M,00:00.391,1984Mn
391715.extern,extern,,,COMPLETED,30,00:00:12,0,00:00.001,1984Mn
391715.0,python3,,,CANCELLED,30,00:00:13,0,00:06.279,1984Mn
391716,Q06S128ss,dgoncalves,cpu1,CANCELLED by 383200393,40,00:00:18,,00:11.734,1984Mn
391716.batch,batch,,,CANCELLED,40,00:00:18,4.15M,00:00.404,1984Mn
391716.extern,extern,,,COMPLETED,40,00:00:18,0,00:00:00,1984Mn
391716.0,python3,,,CANCELLED,40,00:00:20,0,00:11.329,1984Mn
391717,Q06S128ss,dgoncalves,cpu1,OUT_OF_MEMORY,48,00:03:56,,03:53.184,1984Mn
391717.batch,batch,,,OUT_OF_MEMORY,48,00:03:56,4.45M,00:00.424,1984Mn
391717.extern,extern,,,OUT_OF_MEMORY,48,00:03:56,0,00:00:00,1984Mn
391717.0,python3,,,OUT_OF_MEMORY,48,00:03:54,1796.13M,03:52.758,1984Mn
391719,Q06S128ss,dgoncalves,cpu1,OUT_OF_MEMORY,10,00:04:19,,07:44.882,1984Mc
391719.batch,batch,,,OUT_OF_MEMORY,10,00:04:19,4.44M,00:00.414,1984Mc
391719.extern,extern,,,OUT_OF_MEMORY,10,00:04:19,0,00:00:00,1984Mc
391719.0,python3,,,OUT_OF_MEMORY,10,00:04:18,18770.84M,07:44.467,1984Mc
391720,Q06S128ss,dgoncalves,cpu1,OUT_OF_MEMORY,20,00:18:54,,02:57:57,1984Mc
391720.batch,batch,,,OUT_OF_MEMORY,20,00:18:54,4.44M,00:00.417,1984Mc
391720.extern,extern,,,OUT_OF_MEMORY,20,00:18:54,0,00:00.001,1984Mc
391720.0,python3,,,OUT_OF_MEMORY,20,00:18:53,39504.36M,02:57:56,1984Mc
391721,Q06S128ss,dgoncalves,cpu1,OUT_OF_MEMORY,30,00:44:26,,05:00:38,1984Mc
391721.batch,batch,,,OUT_OF_MEMORY,30,00:44:26,4.44M,00:00.404,1984Mc
391721.extern,extern,,,OUT_OF_MEMORY,30,00:44:26,0,00:00:00,1984Mc
391721.0,python3,,,OUT_OF_MEMORY,30,00:44:25,57870.27M,05:00:37,1984Mc
391722,Q06S128ss,dgoncalves,cpu1,OUT_OF_MEMORY,40,00:48:07,,04:36:51,1984Mc
391722.batch,batch,,,OUT_OF_MEMORY,40,00:48:07,4.44M,00:00.490,1984Mc
391722.extern,extern,,,OUT_OF_MEMORY,40,00:48:07,0,00:00.001,1984Mc
391722.0,python3,,,OUT_OF_MEMORY,40,00:48:05,79174.36M,04:36:50,1984Mc
391723,Q06S128ss,dgoncalves,cpu1,FAILED,48,00:58:17,,04:46:03,1984Mc
391723.batch,batch,,,FAILED,48,00:58:17,4.45M,00:00.424,1984Mc
391723.extern,extern,,,COMPLETED,48,00:58:18,0,00:00:00,1984Mc
391723.0,python3,,,FAILED,48,00:58:16,80288.84M,04:46:03,1984Mc
392595,Q06S01ds,dgoncalves,cpu1,FAILED,10,00:00:10,,00:03.607,1984Mc
392595.batch,batch,,,FAILED,10,00:00:10,0,00:00.421,1984Mc
392595.extern,extern,,,COMPLETED,10,00:00:10,0,00:00:00,1984Mc
392595.0,python3,,,FAILED,10,00:00:08,0,00:03.185,1984Mc
392596,Q06S02ds,dgoncalves,cpu1,COMPLETED,10,00:00:11,,00:05.785,1984Mc
392596.batch,batch,,,COMPLETED,10,00:00:11,0,00:00.425,1984Mc
392596.extern,extern,,,COMPLETED,10,00:00:11,0,00:00:00,1984Mc
392596.0,python3,,,COMPLETED,10,00:00:10,5.18M,00:05.359,1984Mc
392597,Q06S10ds,dgoncalves,cpu1,COMPLETED,10,00:00:34,,01:58.646,1984Mc
392597.batch,batch,,,COMPLETED,10,00:00:34,4.45M,00:00.404,1984Mc
392597.extern,extern,,,COMPLETED,10,00:00:34,0,00:00:00,1984Mc
392597.0,python3,,,COMPLETED,10,00:00:33,447.08M,01:58.240,1984Mc
392598,Q06S20ds,dgoncalves,cpu1,COMPLETED,10,00:01:49,,09:36.365,1984Mc
392598.batch,batch,,,COMPLETED,10,00:01:49,4.45M,00:00.425,1984Mc
392598.extern,extern,,,COMPLETED,10,00:01:49,0,00:00:00,1984Mc
392598.0,python3,,,COMPLETED,10,00:01:48,2785.88M,09:35.939,1984Mc
392599,Q06S40ds,dgoncalves,cpu1,COMPLETED,10,00:06:47,,42:10.528,1984Mc
392599.batch,batch,,,COMPLETED,10,00:06:47,4.45M,00:00.434,1984Mc
392599.extern,extern,,,COMPLETED,10,00:06:47,0,00:00:00,1984Mc
392599.0,python3,,,COMPLETED,10,00:06:45,10916.02M,42:10.093,1984Mc
392600,Q06S80ds,dgoncalves,cpu1,OUT_OF_MEMORY,10,00:14:55,,02:11:02,1984Mc
392600.batch,batch,,,OUT_OF_MEMORY,10,00:14:55,4.55M,00:00.434,1984Mc
392600.extern,extern,,,OUT_OF_MEMORY,10,00:14:55,0,00:00.001,1984Mc
392600.0,python3,,,OUT_OF_MEMORY,10,00:14:52,19759.44M,02:11:02,1984Mc
392602,Q06S50ds,dgoncalves,cpu1,OUT_OF_MEMORY,10,00:10:58,,01:09:08,1984Mc
392602.batch,batch,,,OUT_OF_MEMORY,10,00:10:58,4.45M,00:00.433,1984Mc
392602.extern,extern,,,OUT_OF_MEMORY,10,00:10:58,0,00:00:00,1984Mc
392602.0,python3,,,OUT_OF_MEMORY,10,00:10:56,10499.86M,01:09:08,1984Mc
392603,Q06S60ds,dgoncalves,cpu1,CANCELLED by 383200393,10,00:13:38,,01:37:20,1984Mc
392603.batch,batch,,,CANCELLED,10,00:13:40,4.45M,00:00.407,1984Mc
392603.extern,extern,,,COMPLETED,10,00:13:39,0,00:00:00,1984Mc
392603.0,python3,,,CANCELLED,10,00:13:40,13944.89M,01:37:20,1984Mc
392604,Q05S02ds,dgoncalves,cpu1,COMPLETED,10,00:00:07,,00:04.416,1984Mc
392604.batch,batch,,,COMPLETED,10,00:00:07,0,00:00.502,1984Mc
392604.extern,extern,,,COMPLETED,10,00:00:07,0,00:00:00,1984Mc
392604.0,python3,,,COMPLETED,10,00:00:06,5.17M,00:03.913,1984Mc
392605,Q05S10ds,dgoncalves,cpu1,COMPLETED,10,00:00:14,,00:37.621,1984Mc
392605.batch,batch,,,COMPLETED,10,00:00:14,0,00:00.427,1984Mc
392605.extern,extern,,,COMPLETED,10,00:00:14,0,00:00.001,1984Mc
392605.0,python3,,,COMPLETED,10,00:00:13,5.18M,00:37.193,1984Mc
392606,Q05S20ds,dgoncalves,cpu1,COMPLETED,10,00:00:41,,02:55.797,1984Mc
392606.batch,batch,,,COMPLETED,10,00:00:41,4.45M,00:00.465,1984Mc
392606.extern,extern,,,COMPLETED,10,00:00:41,0,00:00:00,1984Mc
392606.0,python3,,,COMPLETED,10,00:00:40,1825.34M,02:55.330,1984Mc
392607,Q05S40ds,dgoncalves,cpu1,COMPLETED,10,00:02:10,,12:03.247,1984Mc
392607.batch,batch,,,COMPLETED,10,00:02:10,4.45M,00:00.461,1984Mc
392607.extern,extern,,,COMPLETED,10,00:02:10,0,00:00.001,1984Mc
392607.0,python3,,,COMPLETED,10,00:02:09,3829.39M,12:02.785,1984Mc
392610,TQ06S02ds,dgoncalves,cpu1,COMPLETED,2,00:00:14,,00:06.604,1984Mc
392610.batch,batch,,,COMPLETED,2,00:00:14,0,00:00.514,1984Mc
392610.extern,extern,,,COMPLETED,2,00:00:14,0,00:00:00,1984Mc
392610.0,python3,,,COMPLETED,2,00:00:12,5.18M,00:06.088,1984Mc
392611,TQ06S10ds,dgoncalves,cpu1,COMPLETED,2,00:01:36,,02:39.187,1984Mc
392611.batch,batch,,,COMPLETED,2,00:01:36,4.44M,00:00.497,1984Mc
392611.extern,extern,,,COMPLETED,2,00:01:36,0,00:00.001,1984Mc
392611.0,python3,,,COMPLETED,2,00:01:33,1268.20M,02:38.689,1984Mc
392612,TQ06S20ds,dgoncalves,cpu1,COMPLETED,2,00:06:08,,11:10.354,1984Mc
392612.batch,batch,,,COMPLETED,2,00:06:08,4.45M,00:00.492,1984Mc
392612.extern,extern,,,COMPLETED,2,00:06:08,0,00:00:00,1984Mc
392612.0,python3,,,COMPLETED,2,00:06:06,3514.92M,11:09.860,1984Mc
392613,TQ06S40ds,dgoncalves,cpu1,OUT_OF_MEMORY,2,00:03:56,,07:01.805,1984Mc
392613.batch,batch,,,OUT_OF_MEMORY,2,00:03:56,4.45M,00:00.534,1984Mc
392613.extern,extern,,,OUT_OF_MEMORY,2,00:03:56,0,00:00.001,1984Mc
392613.0,python3,,,OUT_OF_MEMORY,2,00:03:53,3868.73M,07:01.269,1984Mc
392614,TQ06S50ds,dgoncalves,cpu1,OUT_OF_MEMORY,2,00:01:53,,02:42.925,1984Mc
392614.batch,batch,,,OUT_OF_MEMORY,2,00:01:53,4.44M,00:00.507,1984Mc
392614.extern,extern,,,OUT_OF_MEMORY,2,00:01:53,0,00:00.001,1984Mc
392614.0,python3,,,OUT_OF_MEMORY,2,00:01:50,3141.23M,02:42.416,1984Mc
392615,TQ06S51ds,dgoncalves,cpu1,OUT_OF_MEMORY,2,00:01:32,,02:01.332,1984Mc
392615.batch,batch,,,OUT_OF_MEMORY,2,00:01:32,4.45M,00:00.501,1984Mc
