JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU
391522,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,4,00:00:00,,00:00:00
391523,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
391524,Q06S128s,dgoncalves,cpu2,FAILED,20,00:00:18,,00:02.731
391524.batch,batch,,,FAILED,20,00:00:18,0,00:00.341
391524.extern,extern,,,COMPLETED,20,00:00:18,0,00:00.001
391524.0,python,,,FAILED,20,00:00:17,0,00:02.389
391525,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,30,00:00:00,,00:00:00
391526,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
391527,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
391657,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,4,00:00:00,,00:00:00
391658,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
391659,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
391660,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,30,00:00:00,,00:00:00
391661,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,40,00:00:00,,00:00:00
391662,TQ06S128s,dgoncalves,cpu2,CANCELLED by 383200393,80,00:00:00,,00:00:00
391687,TQ06S128s,dgoncalves,hmem1,OUT_OF_MEMORY,80,00:02:45,,01:33.427
391687.batch,batch,,,OUT_OF_MEMORY,80,00:02:45,4.45M,00:00.345
391687.extern,extern,,,OUT_OF_MEMORY,80,00:02:45,0,00:00:00
391687.0,python,,,OUT_OF_MEMORY,80,00:02:43,1185.36M,01:33.080
391705,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,10,00:00:00,,00:00:00
391707,Q06S128s,dgoncalves,cpu2,CANCELLED by 383200393,20,00:00:00,,00:00:00
